관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소
47930-100184357,읍내 휴먼시아,0,537.463,5630.39,5630.39,0,96,0,경상북도 울진군 울진읍 월변2길 56-21,경상북도 울진군 울진읍 읍내리 370
42130-100204027,원주개운2단지엘에이치아파트,0,0,3270.41,0,0,0,0,강원도 원주시 개운로 20,강원도 원주시 개운동 581-2
42130-100202727,원주개운3단지엘에이치아파트,0,299.226,3715.04,3715.04,0,56,0,강원도 원주시 남원로606번길 22,강원도 원주시 개운동 586
42130-100191692,원주무실7주공아파트,0,324.505,4068.526,4068.526,0,60,0,강원도 원주시 시청로 40,강원도 원주시 무실동 1716-1
42130-19042,원주봉화산주공아파트,0,0,2629.912,0,0,0,0,강원도 원주시 백간길 16,강원도 원주시 단계동 1096
48250-102022679,율현마을 주공12단지아파트,0,391.332,5897.55,5819.46,0,74,0,경상남도 김해시 율하2로 178,경상남도 김해시 율하동 1404
43770-9938,금왕3단지주공아파트,0,388.612,1000.769,701.264,0,0,0,충청북도 음성군 금왕읍 무극로324번길 15,충청북도 음성군 금왕읍 무극리 93
41430-2355,장안마을주공아파트,0,0,1414.306,0,0,0,0,경기도 의왕시 신장승길 12,경기도 의왕시 삼동 556
41430-6242,휴먼시아 청계마을,0,695.216,5175.83,5161.85,0,69,0,경기도 의왕시 청계1로 28,경기도 의왕시 청계동 972
41430-6265,휴먼시아 청계마을,0,13.429,13.32,13.32,0,0,0,경기도 의왕시 청계1로 9,경기도 의왕시 청계동 980
41500-9269,주공아파트,0,14.973,9,9,0,0,0,경기도 이천시 영창로314번길 51,경기도 이천시 갈산동 778
41500-100185000,휴먼시아,0,471.41,5368.94,5368.94,0,70,0,경기도 이천시 영창로 315,경기도 이천시 갈산동 785
45140-32851,익산부송송백마을,0,14.973,9,9,0,0,0,전라북도 익산시 부송1로 123,전라북도 익산시 부송동 1205
45750-1620,임실이도주공아파트,0,9.81,9.81,9.81,0,0,0,전라북도 임실군 임실읍 운수로 33-17,전라북도 임실군 임실읍 이도리 958
46880-3102,영천주공아파트,0,127.2,120.84,120.84,0,0,0,전라남도 장성군 장성읍 문화로 23,전라남도 장성군 장성읍 영천리 1654
45740-100172143,장수북동주공아파트,0,533.454,6673.05,6659.062,0,99,0,전라북도 장수군 장수읍 관두길 16,전라북도 장수군 장수읍 장수리 727
44770-100188656,휴먼시아아파트,0,545.655,6958.306,6958.306,0,89,0,충청남도 서천군 장항읍 장항로 285,충청남도 서천군 장항읍 원수리 907
50110-82068,정든마을3단지,0,0,1843.77,0,0,0,0,제주특별자치도 제주시 정존11길 68,제주특별자치도 제주시 노형동 2582-2
42770-3179,고한주공아파트,0,0,237.81,0,0,0,0,강원도 정선군 고한읍 고한10길 30,강원도 정선군 고한읍 고한리 65-10
42770-6145,봉양주공1차아파트,0,8.843,8.843,8.843,0,0,0,강원도 정선군 정선읍 녹송로 23-34,강원도 정선군 정선읍 봉양리 89-1
45180-6492,농소주공아파트,0,14.973,9,9,0,0,0,전라북도 정읍시 서부산업도로 409,전라북도 정읍시 농소동 1520
45180-4427,정읍신태인주공아파트,0,14.973,9,9,0,0,0,전라북도 정읍시 신태인읍 호남철로 32-13,전라북도 정읍시 신태인읍 신태인리 736-1
50110-14940,도련주공아파트,0,14.973,9,9,0,0,0,제주특별자치도 제주시 도련2길 14,제주특별자치도 제주시 도련일동 1618
50110-16505, ,0,10.44,10.44,10.44,0,0,0,제주특별자치도 제주시 한림읍 대림4길 20,제주특별자치도 제주시 한림읍 대림리 1885
43150-100183487,제천강저휴먼시아1단지,0,683.758,8180.955,8180.955,0,138,0,충청북도 제천시 청풍호로7길 20,충청북도 제천시 영천동 2227
43150-15435,제천장락3주공아파트,0,362,687.752,473.732,0,0,0,충청북도 제천시 장락로 130,충청북도 제천시 장락동 1040
27710-100177823,죽곡휴먼시아1단지,0,376.464,6544.83,6528.09,0,84,0,대구광역시 달성군 다사읍 대실역북로1길 6,대구광역시 달성군 다사읍 매곡리 1539
43745-100175884,증평송산휴먼시아2단지,0,407.52,4971.3,4971.3,0,90,0,충청북도 증평군 증평읍 송산로 53,충청북도 증평군 증평읍 송산리 717
48170-38353,가좌3주공아파트,0,14.973,9,9,0,0,0,경상남도 진주시 진주대로568번길 12,경상남도 진주시 가좌동 464
48129-2000017418,자은3주공아파트,0,19.95,13.977,13.977,0,0,0,경상남도 창원시 진해구 진해대로975번길 23,경상남도 창원시 진해구 자은동 760-1
48121-100194388,도계휴먼시아아파트,0,399.9,5081.03,5031.38,0,73,0,경상남도 창원시 의창구 원이대로82번길 15-15,경상남도 창원시 의창구 도계동 469
43114-1000006626,내수주공아파트,0,457.55,4086.492,4071.872,0,60,0,충청북도 청주시 청원구 내수읍 청암로 35,충청북도 청주시 청원구 내수읍 마산리 210
43113-100180306,가로수마을 휴먼시아,0,0,4471.567,0,0,0,0,충청북도 청주시 흥덕구 서현중로32번길 23,충청북도 청주시 흥덕구 가경동 2077
42110-21264,퇴계8단지주공아파트,0,14.973,9,9,0,0,0,강원도 춘천시 승지골길16번길 48,강원도 춘천시 퇴계동 1036
42110-21215,퇴계9단지 주공아파트,0,14.973,9,9,0,0,0,강원도 춘천시 안마산로 244,강원도 춘천시 퇴계동 1024
43130-17823,연수주공6단지아파트,0,14.973,9,9,0.037033379,0,0,충청북도 충주시 금곡서1길 5,충청북도 충주시 연수동 1755
43130-100183290,충주연수휴먼시아7단지아파트,0,451.18,5894.23,5894.23,0,90,0,충청북도 충주시 갱고개로 230,충청북도 충주시 연수동 1759
41220-13074,주공아파트,0,14.973,9,9,0,0,0,경기도 평택시 안중읍 안현로서6길 61,경기도 평택시 안중읍 현화리 843-1
41220-16304,반지마을주공아파트,0,9,9,9,0,0,0,경기도 평택시 이충로35번길 51,경기도 평택시 이충동 680
48730-3270,함안도항2주공아파트,0,9,9,9,0,0,0,경상남도 함안군 가야읍 성내북길 57,경상남도 함안군 가야읍 도항리 307
48870-100180394,함양교산휴먼시아,0,466.06,5229.85,5173.35,0,91,0,경상남도 함양군 함양읍 함양로 1246,경상남도 함양군 함양읍 교산리 379
43770-100185980,음성감곡휴먼시아,0,519.24,5997.71,5997.71,0,99,0,충청북도 음성군 감곡면 오향로 31,충청북도 음성군 감곡면 오향리 1181
43112-100205911,성화 휴먼시아4단지,0,20.25,20.25,20.25,0,0,0,충청북도 청주시 서원구 장전로 11,충청북도 청주시 서원구 성화동 708
29200-100215061,신완마을 휴먼시아,0,398.57,4598.81,4526.03,0,56,0,광주광역시 광산구 풍영로329번길 51,광주광역시 광산구 장덕동 1044
