지번주소;도로명주소;건물명;폐지여부
부산광역시 북구 금곡동 1882;부산광역시 북구 화명신도시로 255;율리마을주공아파트;존재
충청남도 부여군 부여읍 쌍북리 113;충청남도 부여군 부여읍 성왕로328번길 15;쌍북주공아파트;존재
경상남도 사천시 벌리동 259;경상남도 사천시 주공1길 50;주공아파트;존재
제주특별자치도 서귀포시 동홍동 353-1;제주특별자치도 서귀포시 태평로512번길 9;동홍3주공아파트;존재
충청남도 서산시 석림동 463-1;충청남도 서산시 석림4로 83;주공아파트;존재
강원도 속초시 교동 961-1;강원도 속초시 먹거리길 17;;존재
울산광역시 울주군 삼남읍 교동리 1555-4;울산광역시 울주군 삼남읍 봉화마을길 9;교동주공아파트;존재
울산광역시 북구 화봉동 1440;울산광역시 북구 화산로 36;화봉2주공아파트;존재
강원도 원주시 문막읍 건등리 1742-1;강원도 원주시 문막읍 원문로 1684;원주문막주공아파트;존재
부산광역시 기장군 정관읍 용수리 1359;부산광역시 기장군 정관읍 정관4로 23;정관신도시 휴먼시아1단지;존재
제주특별자치도 제주시 아라일동 6136;제주특별자치도 제주시 인다12길 2;엘에이치아파트;존재
제주특별자치도 제주시 노형동 753;제주특별자치도 제주시 진군1길 3;으뜸마을아파트;존재
제주특별자치도 제주시 화북일동 9-1;제주특별자치도 제주시 동화로1길 35;화북3아파트;존재
경상남도 진주시 가좌동 660;경상남도 진주시 가호로 26;진주가좌주공아파트;존재
경상남도 진주시 평거동 392;경상남도 진주시 진양호로125번길 6;평거주공2아파트;존재
경상남도 창원시 진해구 자은동 909;경상남도 창원시 진해구 진해대로901번길 11;주공아파트;존재
경상남도 창녕군 창녕읍 말흘리 289;경상남도 창녕군 창녕읍 말흘5길 33;창녕주공아파트;존재
충청남도 천안시 서북구 백석동 910;충청남도 천안시 서북구 백석3로 70;주공그린빌11단지3차아파트;존재
충청남도 천안시 서북구 성정동 787;충청남도 천안시 서북구 쌍용대로 289-28;주공6단지아파트;존재
충청남도 천안시 서북구 쌍용동 1284;충청남도 천안시 서북구 쌍용11길 57;주공7단지1차아파트;존재
충청남도 청양군 청양읍 읍내리 476;충청남도 청양군 청양읍 고리섬들길 53;휴먼시아;존재
강원도 춘천시 후평동 899;강원도 춘천시 후석로228번길 47;석사3아파트;존재
강원도 태백시 철암동 467;강원도 태백시 삼방길 40;태백철암주공아파트;존재
